Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4,Decision 5,Value 5
Universe_1,asr,none,brain_thresh,0.7,baseline_type,standing,phase_window,full,highpass_hz,1.0
Universe_2,asr,none,brain_thresh,0.7,baseline_type,standing,phase_window,full,highpass_hz,2.0
Universe_3,asr,none,brain_thresh,0.7,baseline_type,standing,phase_window,peak,highpass_hz,1.0
Universe_4,asr,none,brain_thresh,0.7,baseline_type,standing,phase_window,peak,highpass_hz,2.0
Universe_5,asr,none,brain_thresh,0.7,baseline_type,walking_mean,phase_window,full,highpass_hz,1.0
Universe_6,asr,none,brain_thresh,0.7,baseline_type,walking_mean,phase_window,full,highpass_hz,2.0
Universe_7,asr,none,brain_thresh,0.7,baseline_type,walking_mean,phase_window,peak,highpass_hz,1.0
Universe_8,asr,none,brain_thresh,0.7,baseline_type,walking_mean,phase_window,peak,highpass_hz,2.0
Universe_9,asr,none,brain_thresh,0.9,baseline_type,standing,phase_window,full,highpass_hz,1.0
Universe_10,asr,none,brain_thresh,0.9,baseline_type,standing,phase_window,full,highpass_hz,2.0
Universe_11,asr,none,brain_thresh,0.9,baseline_type,standing,phase_window,peak,highpass_hz,1.0
Universe_12,asr,none,brain_thresh,0.9,baseline_type,standing,phase_window,peak,highpass_hz,2.0
Universe_13,asr,none,brain_thresh,0.9,baseline_type,walking_mean,phase_window,full,highpass_hz,1.0
Universe_14,asr,none,brain_thresh,0.9,baseline_type,walking_mean,phase_window,full,highpass_hz,2.0
Universe_15,asr,none,brain_thresh,0.9,baseline_type,walking_mean,phase_window,peak,highpass_hz,1.0
Universe_16,asr,none,brain_thresh,0.9,baseline_type,walking_mean,phase_window,peak,highpass_hz,2.0
Universe_17,asr,cutoff_20,brain_thresh,0.7,baseline_type,standing,phase_window,full,highpass_hz,1.0
Universe_18,asr,cutoff_20,brain_thresh,0.7,baseline_type,standing,phase_window,full,highpass_hz,2.0
Universe_19,asr,cutoff_20,brain_thresh,0.7,baseline_type,standing,phase_window,peak,highpass_hz,1.0
Universe_20,asr,cutoff_20,brain_thresh,0.7,baseline_type,standing,phase_window,peak,highpass_hz,2.0
Universe_21,asr,cutoff_20,brain_thresh,0.7,baseline_type,walking_mean,phase_window,full,highpass_hz,1.0
Universe_22,asr,cutoff_20,brain_thresh,0.7,baseline_type,walking_mean,phase_window,full,highpass_hz,2.0
Universe_23,asr,cutoff_20,brain_thresh,0.7,baseline_type,walking_mean,phase_window,peak,highpass_hz,1.0
Universe_24,asr,cutoff_20,brain_thresh,0.7,baseline_type,walking_mean,phase_window,peak,highpass_hz,2.0
Universe_25,asr,cutoff_20,brain_thresh,0.9,baseline_type,standing,phase_window,full,highpass_hz,1.0
Universe_26,asr,cutoff_20,brain_thresh,0.9,baseline_type,standing,phase_window,full,highpass_hz,2.0
Universe_27,asr,cutoff_20,brain_thresh,0.9,baseline_type,standing,phase_window,peak,highpass_hz,1.0
Universe_28,asr,cutoff_20,brain_thresh,0.9,baseline_type,standing,phase_window,peak,highpass_hz,2.0
Universe_29,asr,cutoff_20,brain_thresh,0.9,baseline_type,walking_mean,phase_window,full,highpass_hz,1.0
Universe_30,asr,cutoff_20,brain_thresh,0.9,baseline_type,walking_mean,phase_window,full,highpass_hz,2.0
Universe_31,asr,cutoff_20,brain_thresh,0.9,baseline_type,walking_mean,phase_window,peak,highpass_hz,1.0
Universe_32,asr,cutoff_20,brain_thresh,0.9,baseline_type,walking_mean,phase_window,peak,highpass_hz,2.0
Universe_33,asr,cutoff_30,brain_thresh,0.7,baseline_type,standing,phase_window,full,highpass_hz,1.0
Universe_34,asr,cutoff_30,brain_thresh,0.7,baseline_type,standing,phase_window,full,highpass_hz,2.0
Universe_35,asr,cutoff_30,brain_thresh,0.7,baseline_type,standing,phase_window,peak,highpass_hz,1.0
Universe_36,asr,cutoff_30,brain_thresh,0.7,baseline_type,standing,phase_window,peak,highpass_hz,2.0
Universe_37,asr,cutoff_30,brain_thresh,0.7,baseline_type,walking_mean,phase_window,full,highpass_hz,1.0
Universe_38,asr,cutoff_30,brain_thresh,0.7,baseline_type,walking_mean,phase_window,full,highpass_hz,2.0
Universe_39,asr,cutoff_30,brain_thresh,0.7,baseline_type,walking_mean,phase_window,peak,highpass_hz,1.0
Universe_40,asr,cutoff_30,brain_thresh,0.7,baseline_type,walking_mean,phase_window,peak,highpass_hz,2.0
Universe_41,asr,cutoff_30,brain_thresh,0.9,baseline_type,standing,phase_window,full,highpass_hz,1.0
Universe_42,asr,cutoff_30,brain_thresh,0.9,baseline_type,standing,phase_window,full,highpass_hz,2.0
Universe_43,asr,cutoff_30,brain_thresh,0.9,baseline_type,standing,phase_window,peak,highpass_hz,1.0
Universe_44,asr,cutoff_30,brain_thresh,0.9,baseline_type,standing,phase_window,peak,highpass_hz,2.0
Universe_45,asr,cutoff_30,brain_thresh,0.9,baseline_type,walking_mean,phase_window,full,highpass_hz,1.0
Universe_46,asr,cutoff_30,brain_thresh,0.9,baseline_type,walking_mean,phase_window,full,highpass_hz,2.0
Universe_47,asr,cutoff_30,brain_thresh,0.9,baseline_type,walking_mean,phase_window,peak,highpass_hz,1.0
Universe_48,asr,cutoff_30,brain_thresh,0.9,baseline_type,walking_mean,phase_window,peak,highpass_hz,2.0
