onset	duration	sample	value
0.0937500000	n/a	48	9633791
7.0000000000	n/a	3584	RHS
7.2519531250	n/a	3713	LTO
7.6875000000	n/a	3936	LHS
7.9882812500	n/a	4090	RTO
8.4062500000	n/a	4304	RHS
8.6699218750	n/a	4439	LTO
9.1328125000	n/a	4676	LHS
9.4003906250	n/a	4813	RTO
9.8750000000	n/a	5056	RHS
10.1367187500	n/a	5190	LTO
10.6035156250	n/a	5429	LHS
10.8828125000	n/a	5572	RTO
11.3144531250	n/a	5793	RHS
11.5625000000	n/a	5920	LTO
12.0117187500	n/a	6150	LHS
12.2988281250	n/a	6297	RTO
12.7460937500	n/a	6526	RHS
12.9980468750	n/a	6655	LTO
13.4414062500	n/a	6882	LHS
13.7148437500	n/a	7022	RTO
14.1582031250	n/a	7249	RHS
14.4042968750	n/a	7375	LTO
14.8906250000	n/a	7624	LHS
15.1699218750	n/a	7767	RTO
15.5781250000	n/a	7976	RHS
15.8085937500	n/a	8094	LTO
16.2597656250	n/a	8325	LHS
16.5332031250	n/a	8465	RTO
16.8867187500	n/a	8646	RHS
17.1113281250	n/a	8761	LTO
17.5371093750	n/a	8979	LHS
17.8046875000	n/a	9116	RTO
18.2578125000	n/a	9348	RHS
18.4843750000	n/a	9464	LTO
18.8789062500	n/a	9666	LHS
19.1113281250	n/a	9785	RTO
19.5605468750	n/a	10015	RHS
19.8105468750	n/a	10143	LTO
20.2304687500	n/a	10358	LHS
20.2382812500	n/a	10362	TRIG
20.4824218750	n/a	10487	RTO
20.9238281250	n/a	10713	RHS
21.1621093750	n/a	10835	LTO
21.5761718750	n/a	11047	LHS
21.8164062500	n/a	11170	RTO
22.2382812500	n/a	11386	TRIG
22.2578125000	n/a	11396	RHS
22.5117187500	n/a	11526	LTO
22.9570312500	n/a	11754	LHS
23.2070312500	n/a	11882	RTO
23.6328125000	n/a	12100	RHS
23.8906250000	n/a	12232	LTO
24.2382812500	n/a	12410	TRIG
24.2968750000	n/a	12440	LHS
24.5351562500	n/a	12562	RTO
24.9199218750	n/a	12759	RHS
25.1484375000	n/a	12876	LTO
25.5820312500	n/a	13098	LHS
25.8398437500	n/a	13230	RTO
26.2070312500	n/a	13418	RHS
