name	x	y	z
1-A1	22.304518	-0.818582	88.241052
1-A2	6.091718	-1.666082	91.991252
1-A3	-6.440182	-2.198382	92.880952
1-A4	-23.373582	-1.410382	89.762552
1-A5	-35.259482	25.299218	81.322352
1-A6	-16.955382	49.122218	77.553452
1-A7	-29.953282	53.538918	70.973952
1-A8	-47.657882	52.041618	62.014052
1-A9	-56.336882	55.748718	47.679752
1-A10	-64.328082	57.659218	32.547452
1-A11	-69.215082	60.112318	14.606352
1-A12	-76.133982	57.042018	-2.781148
1-A13	-91.453782	31.410718	5.856052
1-A14	-86.977482	32.335318	21.089052
1-A15	-81.284982	31.716518	37.661152
1-A16	-72.478482	31.010518	50.571452
1-A17	-60.899582	28.923418	64.077052
1-A18	-47.154682	30.849618	73.009552
1-A19	-38.501282	0.449618	83.306752
1-A20	-52.545682	1.155618	74.059352
1-A21	-64.105182	1.573918	64.160452
1-A22	-75.449982	1.861018	51.675852
1-A23	-84.509282	2.740318	37.639552
1-A24	-92.091982	2.060818	22.779752
1-A25	-96.019782	2.754018	8.310152
1-A26	-92.257882	-25.839182	4.035252
1-A27	-90.152082	-26.864482	20.800552
1-A28	-83.604982	-26.926582	36.847152
1-A29	-74.491282	-27.314382	50.096152
1-A30	-62.419182	-27.024082	64.119852
1-A31	-48.569482	-28.124082	73.027052
1-A32	-36.367682	-24.488882	82.069352
1-B1	16.969718	-18.291582	87.689352
1-B3	-22.623682	-46.567782	76.724652
1-B4	-33.509982	-51.994582	68.673952
1-B5	-54.205982	-48.156982	60.093652
1-B6	-62.820082	-49.158082	47.634652
1-B7	-69.008082	-52.685682	30.216752
1-B8	-75.711382	-51.964182	14.992652
1-B9	-80.740082	-50.520282	-3.482548
1-B10	-58.709882	-68.785282	6.927752
1-B11	-50.321582	-67.421282	21.379852
1-B12	-43.526882	-66.236282	38.141052
1-B13	-39.326182	-60.823682	52.473952
1-B14	-28.587782	-79.157182	14.654552
1-B15	-21.971082	-76.809282	29.777552
1-B16	-15.961082	-72.091582	45.523552
1-B17	-15.689382	-63.483982	60.217052
1-B18	-7.354982	-55.003382	71.660452
1-B20	18.286818	-33.110882	83.192252
1-B21	16.936418	-48.014382	73.917752
1-B22	13.283318	-59.774082	64.092052
1-B23	12.555018	-68.561682	51.814052
1-B24	5.613518	-75.614682	38.080652
1-B25	1.284818	-79.833782	21.964352
1-B26	-4.014982	-81.709382	8.367452
1-B27	22.453018	-78.319182	0.508452
1-B28	27.787618	-74.540182	17.566852
1-B29	29.793118	-70.347482	32.507752
1-B30	36.832018	-63.330282	45.810952
1-B31	37.052218	-55.161182	58.204252
1-B32	40.423418	-38.279282	71.073952
1-C1	36.489918	-11.386182	81.863652
1-C2	44.245918	-25.230182	74.753352
1-C3	57.373618	-46.589082	53.638052
1-C4	61.942318	-51.239982	40.236452
1-C5	52.871518	-61.671982	27.870552
1-C6	51.719018	-66.139782	10.891052
1-C7	49.815618	-67.163682	-5.657248
1-C8	72.565418	-54.244582	-9.613248
1-C9	75.053518	-52.108982	7.119852
1-C10	73.629918	-49.622882	21.854552
1-C11	58.208918	-26.433882	64.444652
1-C12	75.525018	-27.809782	50.603652
1-C13	83.210018	-31.326882	36.330752
1-C14	89.669018	-29.638682	23.750352
1-C15	93.693118	-30.789382	8.461652
1-C16	95.081518	-30.368182	-5.252648
1-C17	103.643118	-3.925882	-5.165548
1-C18	103.022218	-4.826682	10.798552
1-C19	99.913218	-3.629182	22.596152
1-C20	92.211918	-3.874382	35.367252
1-C21	80.725718	-3.528182	49.565852
1-C22	67.116118	-3.872682	62.956952
1-C23	51.949618	-3.158782	74.246952
1-C24	60.991018	22.160718	63.161152
1-C25	76.687018	21.732318	49.750852
1-C26	83.567718	25.089518	36.324152
1-C27	92.304618	24.205118	22.457652
1-C28	96.044618	24.712018	7.859252
1-C29	96.883218	23.603518	-5.183648
1-C31	81.364418	44.990318	7.092652
1-C32	80.272718	41.291618	22.059252
1-D2	45.472018	20.429018	74.760652
1-D3	60.892818	41.827318	50.978052
1-D4	65.688218	45.398118	38.813752
1-D5	57.759218	56.972818	25.334452
1-D6	57.776618	62.964118	9.604952
1-D7	55.922218	64.783518	-6.376148
1-D8	31.464118	76.070718	-2.091948
1-D9	34.167018	72.807018	14.822852
1-D10	35.916618	67.449618	30.411652
1-D11	40.979018	59.708818	44.455452
1-D12	42.571018	50.995418	57.413452
1-D13	42.962518	34.457918	70.127252
1-D14	21.903718	30.433318	83.147252
1-D15	19.141818	16.071318	88.491452
1-D16	3.763818	22.284118	90.829652
