Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3
Universe_1,High-pass cutoff (Hz),0.5,ASR setting,off,IC selection rule,conservative
Universe_2,High-pass cutoff (Hz),0.5,ASR setting,off,IC selection rule,balanced
Universe_3,High-pass cutoff (Hz),0.5,ASR setting,off,IC selection rule,liberal
Universe_4,High-pass cutoff (Hz),0.5,ASR setting,sd20,IC selection rule,conservative
Universe_5,High-pass cutoff (Hz),0.5,ASR setting,sd20,IC selection rule,balanced
Universe_6,High-pass cutoff (Hz),0.5,ASR setting,sd20,IC selection rule,liberal
Universe_7,High-pass cutoff (Hz),0.5,ASR setting,sd3,IC selection rule,conservative
Universe_8,High-pass cutoff (Hz),0.5,ASR setting,sd3,IC selection rule,balanced
Universe_9,High-pass cutoff (Hz),0.5,ASR setting,sd3,IC selection rule,liberal
Universe_10,High-pass cutoff (Hz),1.0,ASR setting,off,IC selection rule,conservative
Universe_11,High-pass cutoff (Hz),1.0,ASR setting,off,IC selection rule,balanced
Universe_12,High-pass cutoff (Hz),1.0,ASR setting,off,IC selection rule,liberal
Universe_13,High-pass cutoff (Hz),1.0,ASR setting,sd20,IC selection rule,conservative
Universe_14,High-pass cutoff (Hz),1.0,ASR setting,sd20,IC selection rule,balanced
Universe_15,High-pass cutoff (Hz),1.0,ASR setting,sd20,IC selection rule,liberal
Universe_16,High-pass cutoff (Hz),1.0,ASR setting,sd3,IC selection rule,conservative
Universe_17,High-pass cutoff (Hz),1.0,ASR setting,sd3,IC selection rule,balanced
Universe_18,High-pass cutoff (Hz),1.0,ASR setting,sd3,IC selection rule,liberal
Universe_19,High-pass cutoff (Hz),2.0,ASR setting,off,IC selection rule,conservative
Universe_20,High-pass cutoff (Hz),2.0,ASR setting,off,IC selection rule,balanced
Universe_21,High-pass cutoff (Hz),2.0,ASR setting,off,IC selection rule,liberal
Universe_22,High-pass cutoff (Hz),2.0,ASR setting,sd20,IC selection rule,conservative
Universe_23,High-pass cutoff (Hz),2.0,ASR setting,sd20,IC selection rule,balanced
Universe_24,High-pass cutoff (Hz),2.0,ASR setting,sd20,IC selection rule,liberal
Universe_25,High-pass cutoff (Hz),2.0,ASR setting,sd3,IC selection rule,conservative
Universe_26,High-pass cutoff (Hz),2.0,ASR setting,sd3,IC selection rule,balanced
Universe_27,High-pass cutoff (Hz),2.0,ASR setting,sd3,IC selection rule,liberal
