subject	stage	flag	n_cycles_used	n_nan	ersp_range_db	roi_mean_db	stance_roi_db	swing_roi_db	baseline_mean_v2	baseline_ok	n_extracted	n_total	reject_frac	mean_seg_len	n_cycles	mean_dur_s	std_dur_s	cv_dur	n_total_comps	n_brain_comps	n_excl_comps	brain_frac	concat_dur_s	n_ica_comps	n_brain_ics	n_excl_ics	use_asr	asr_cutoff
S1	gait_events	pass													302.0	0.992	0.014	0.014										
S10	gait_events	pass													274.0	1.094	0.018	0.016										
S11	gait_events	pass													286.0	1.048	0.016	0.015										
S12	gait_events	pass													286.0	1.047	0.014	0.014										
S13	gait_events	pass													272.0	1.104	0.016	0.015										
S14	gait_events	pass													297.0	1.007	0.016	0.016										
S15	gait_events	pass													276.0	1.086	0.012	0.011										
S16	gait_events	pass													280.0	1.072	0.009	0.008										
S17	gait_events	pass													281.0	1.068	0.016	0.015										
S18	gait_events	pass													286.0	1.047	0.015	0.015										
S2	gait_events	pass													279.0	1.072	0.016	0.015										
S20	gait_events	pass													285.0	1.063	0.02	0.019										
S21	gait_events	pass													307.0	0.977	0.012	0.013										
S23	gait_events	pass													264.0	1.132	0.016	0.014										
S3	gait_events	pass													283.0	1.06	0.014	0.014										
S4	gait_events	pass													296.0	1.011	0.012	0.011										
S7	gait_events	pass													273.0	1.094	0.013	0.011										
S9	gait_events	pass													274.0	1.092	0.012	0.011										
S1	preprocessing	pass																					483.0	38.0	14.0	24.0	False	
S10	preprocessing	warn																					483.5	38.0	1.0	37.0	False	
S11	preprocessing	pass																					487.2	31.0	15.0	16.0	False	
S12	preprocessing	pass																					486.6	35.0	4.0	31.0	False	
S13	preprocessing	pass																					484.6	32.0	13.0	19.0	False	
S14	preprocessing	pass																					488.0	32.0	8.0	24.0	False	
S15	preprocessing	pass																					485.0	33.0	11.0	22.0	False	
S16	preprocessing	pass																					489.4	32.0	7.0	25.0	False	
S17	preprocessing	pass																					484.3	27.0	12.0	15.0	False	
S18	preprocessing	pass																					489.3	21.0	10.0	11.0	False	
S2	preprocessing	pass																					488.7	20.0	9.0	11.0	False	
S20	preprocessing	pass																					490.7	29.0	10.0	19.0	False	
S23	preprocessing	pass																					484.2	27.0	16.0	11.0	False	
S3	preprocessing	pass																					485.9	33.0	17.0	16.0	False	
S4	preprocessing	pass																					483.1	38.0	9.0	29.0	False	
S7	preprocessing	pass																					485.9	34.0	9.0	25.0	False	
S9	preprocessing	pass																					484.4	37.0	7.0	30.0	False	
S1	ica	pass																	38.0	14.0	24.0	0.368						
S10	ica	warn																	38.0	1.0	37.0	0.026						
S11	ica	pass																	31.0	15.0	16.0	0.484						
S12	ica	warn																	35.0	4.0	31.0	0.114						
S13	ica	pass																	32.0	13.0	19.0	0.406						
S14	ica	pass																	32.0	8.0	24.0	0.25						
S15	ica	pass																	33.0	11.0	22.0	0.333						
S16	ica	pass																	32.0	7.0	25.0	0.219						
S17	ica	pass																	27.0	12.0	15.0	0.444						
S18	ica	pass																	21.0	10.0	11.0	0.476						
S2	ica	pass																	20.0	9.0	11.0	0.45						
S20	ica	pass																	29.0	10.0	19.0	0.345						
S23	ica	pass																	27.0	16.0	11.0	0.593						
S3	ica	pass																	33.0	17.0	16.0	0.515						
